semantic_id	native_command	v5_2_03_handler	v5_2_03_delegate_owner	v5_2_03_delegate_name	v5_2_03_delegate_descriptor	v5_3_02_handler	v5_3_02_delegate_owner	v5_3_02_delegate_name	v5_3_02_delegate_descriptor	contract_status	production_status	reason
ADD_PARAMETER_FOR_ROTATION_DEFORMER	CMD_ADD_PARAMETER_FOR_ROTATION_DEFORMER	command_addParameterForRotationDeformer	com.live2d.cubism.appCtrlImpl.ar	bc	(Lcom/live2d/cubism/CEAppCtrl;)V	command_addParameterForRotationDeformer	com.live2d.cubism.appCtrlImpl.ar	bg	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
ADD_TIMELINE_MARKER	CMD_ADD_TIMELINE_MARKER	command_addTimelineMarker	com.live2d.cubism.appCtrlImpl.a	i	()V	command_addTimelineMarker	com.live2d.cubism.appCtrlImpl.a	k	()V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
ART_PATH_BRUSH_DIALOG	CMD_ART_PATH_BRUSH_DIALOG	command_showArtPathBrushSettingDialog	com.live2d.cubism.appCtrlImpl.ar	aO	(Lcom/live2d/cubism/CEAppCtrl;)V	command_showArtPathBrushSettingDialog	com.live2d.cubism.appCtrlImpl.ar	aS	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
AUTO_BLEND_4_CORNER	CMD_AUTO_BLEND_4_CORNER	command_autoBlend4Corner	com.live2d.cubism.appCtrlImpl.ar	i	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	command_autoBlend4Corner	com.live2d.cubism.appCtrlImpl.ar	j	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
AUTO_CREATE_DEFORMERS	CMD_AUTO_CREATE_DEFORMERS	command_autoCreateDeformers	com.live2d.cubism.appCtrlImpl.ar	k	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	command_autoCreateDeformers	com.live2d.cubism.appCtrlImpl.ar	l	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
AUTO_CREATE_FACE_DEFORMER	CMD_AUTO_CREATE_FACE_DEFORMER	command_autoCreateFaceDeformer	com.live2d.cubism.appCtrlImpl.ar	g	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	command_autoCreateFaceDeformer	com.live2d.cubism.appCtrlImpl.ar	h	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
AUTO_MOVE_FACE_DEFORMER	CMD_AUTO_MOVE_FACE_DEFORMER	command_autoMoveFaceDeformer	com.live2d.cubism.appCtrlImpl.ar	h	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	command_autoMoveFaceDeformer	com.live2d.cubism.appCtrlImpl.ar	i	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
BAKE_MOTION_SYNC	CMD_BAKE_MOTION_SYNC	command_BakeMotionSync	com.live2d.cubism.appCtrlImpl.a	g	(Lcom/live2d/cubism/CEAppCtrl;)V	command_BakeMotionSync	com.live2d.cubism.appCtrlImpl.a	g	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
BAKE_PHYSICS	CMD_BAKE_PHYSICS	command_BakePhysics	com.live2d.cubism.appCtrlImpl.a	h	(Lcom/live2d/cubism/CEAppCtrl;)V	command_BakePhysics	com.live2d.cubism.appCtrlImpl.a	h	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
BLEND_SHAPE	CMD_BLEND_SHAPE	command_blendShape	com.live2d.cubism.appCtrlImpl.ar	l	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	command_blendShape	com.live2d.cubism.appCtrlImpl.ar	m	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
